step,train_loss,valid_loss,img_diff,hard_valid_loss,hard_img_diff 
249,NA,776.9724,526.7207,1003.8445,713.5109
252,NA,866.4410,620.9468,1086.9872,786.2920
252,676.9235,NA,447.4527,NA,NA
255,NA,715.9789,480.8749,926.3853,661.8425
258,NA,723.6064,496.1949,912.1404,663.0696
258,653.9713,NA,425.4265,NA,NA
261,NA,719.0901,493.7038,884.2812,641.8053
264,NA,723.5980,504.9361,914.1586,666.3915
264,632.5020,NA,409.9874,NA,NA
267,NA,681.8470,466.3063,876.9472,641.5039
270,NA,689.4236,473.7533,876.8786,637.9991
270,624.8363,NA,399.3478,NA,NA
273,NA,659.4789,448.7014,843.9741,617.4386
276,NA,1084.8990,810.3157,1259.3500,903.7247
276,630.5316,NA,436.5560,NA,NA
279,NA,649.4806,444.8473,836.9753,610.8804
282,NA,639.2159,433.5735,814.0714,592.7324
282,604.3973,NA,384.9196,NA,NA
285,NA,656.5408,457.5245,866.1464,636.5938
288,NA,644.4254,440.0081,830.9299,598.9820
288,580.2814,NA,369.4201,NA,NA
291,NA,656.7568,453.3564,853.1300,624.8375
294,NA,625.3975,432.6680,801.8043,590.5934
294,562.8590,NA,365.3796,NA,NA
297,NA,643.7206,450.5872,821.3890,610.9370
300,NA,646.5526,448.6433,821.8047,607.9662
300,557.1215,NA,359.0591,NA,NA
303,NA,648.4608,456.5335,838.2588,621.7841
306,NA,637.9227,442.0853,814.3837,599.4353
306,556.0488,NA,358.6995,NA,NA
309,NA,631.4164,437.6558,805.1754,595.7439
312,NA,604.3158,421.7285,818.0629,604.2845
312,522.9296,NA,339.5970,NA,NA
315,NA,584.7894,406.3096,763.8297,570.0115
318,NA,584.4648,406.4470,801.0437,595.8177
318,516.2909,NA,333.9897,NA,NA
321,NA,618.3589,440.7633,817.0717,614.1766
324,NA,603.5302,426.6086,794.2090,597.1417
324,513.1672,NA,340.1846,NA,NA
327,NA,574.2671,397.3152,760.8118,564.4620
330,NA,614.0858,439.7700,810.8799,611.3114
330,511.4272,NA,342.5550,NA,NA
333,NA,587.5544,416.4318,790.4781,596.4382
336,NA,583.9613,414.6181,798.8215,603.6188
336,493.2114,NA,327.9606,NA,NA
339,NA,558.6597,391.5122,748.0032,561.8948
342,NA,573.6118,405.8785,766.8249,580.2457
342,489.8423,NA,327.1089,NA,NA
345,NA,569.4680,399.4599,759.8241,568.1248
348,NA,575.9709,407.1799,775.8601,583.7325
348,481.7640,NA,318.1583,NA,NA
351,NA,542.6238,382.1007,746.1098,562.7019
354,NA,589.0557,425.7186,790.4199,600.1836
354,475.7104,NA,317.7867,NA,NA
357,NA,574.5748,411.5200,759.6427,576.1939
360,NA,537.2629,374.6423,735.1829,551.1240
360,478.6920,NA,311.9878,NA,NA
363,NA,528.7352,373.7296,716.6919,544.2574
366,NA,563.6459,405.7896,763.1047,579.7980
366,464.6790,NA,311.8784,NA,NA
369,NA,543.0142,387.7005,745.0208,567.2593
372,NA,583.7448,419.6153,797.9246,595.8345
372,456.2101,NA,303.7799,NA,NA
375,NA,578.6118,423.2682,813.4680,610.6633
378,NA,546.5673,395.3455,759.2138,577.1079
378,441.2976,NA,295.6494,NA,NA
381,NA,555.0823,399.2004,786.1494,591.1179
384,NA,525.6678,380.6494,731.6191,560.3306
384,432.7310,NA,292.4059,NA,NA
387,NA,526.3673,374.2299,728.5121,553.5128
390,NA,536.3716,388.1199,744.5901,566.7376
390,428.5370,NA,288.7368,NA,NA
393,NA,512.0778,363.6515,712.9927,541.3533
396,NA,511.8949,367.7965,711.4301,544.7689
396,431.2964,NA,288.8619,NA,NA
399,NA,538.4941,392.2916,747.4148,574.2474
402,NA,548.7339,402.2321,755.4556,580.2307
402,423.9842,NA,289.3032,NA,NA
405,NA,512.1386,370.5067,707.1616,544.1876
408,NA,522.8444,376.3752,721.3305,555.8447
408,422.7320,NA,285.4507,NA,NA
411,NA,495.7103,356.0646,683.7684,524.4302
414,NA,486.8698,348.7932,675.8997,519.2582
414,418.4946,NA,279.5923,NA,NA
417,NA,508.2341,368.7430,696.3218,538.7328
420,NA,480.1768,343.8572,680.5385,525.5726
420,408.9111,NA,272.9096,NA,NA
423,NA,519.3315,380.8523,736.7888,569.8688
426,NA,503.9114,367.9377,711.7778,551.8609
426,402.9387,NA,272.4374,NA,NA
429,NA,481.3283,347.1280,681.4846,528.8068
432,NA,482.8980,350.4610,698.9259,543.5710
432,403.2578,NA,274.7576,NA,NA
435,NA,486.5239,352.0893,706.5615,544.8148
438,NA,501.7011,368.6360,709.1962,553.1229
438,391.3880,NA,265.2795,NA,NA
441,NA,488.3539,356.3552,689.6431,537.3931
