step,train_loss,valid_loss,img_diff,hard_valid_loss,hard_img_diff 
246,NA,979.2818,572.1659,1068.9281,660.1975
246,892.2378,NA,481.8210,NA,NA
249,NA,967.7207,565.0244,1062.2758,656.5835
252,NA,959.6482,557.6689,1054.7426,650.5448
252,849.6667,NA,451.7340,NA,NA
255,NA,951.7318,561.9915,1046.8152,654.0043
258,NA,895.7687,522.0311,988.4753,610.8316
258,818.4994,NA,434.1235,NA,NA
261,NA,919.5390,550.2833,1016.7453,642.6372
264,NA,881.9524,519.5236,980.9573,615.2178
264,778.4548,NA,419.1395,NA,NA
267,NA,868.3101,515.3075,959.7569,602.5034
270,NA,893.9250,547.5262,978.7910,630.9147
270,797.1429,NA,437.8503,NA,NA
273,NA,850.3063,516.8813,942.5352,604.7587
276,NA,920.6306,586.3409,995.7964,658.1544
276,774.9114,NA,449.6490,NA,NA
279,NA,845.6217,523.5757,940.1331,614.5278
282,NA,851.8430,520.8085,935.6298,600.6499
282,710.4212,NA,384.6809,NA,NA
285,NA,800.0076,488.2760,895.6492,579.5994
288,NA,824.7017,513.3467,907.4751,592.8639
288,702.8928,NA,390.3867,NA,NA
291,NA,793.0089,493.7681,888.6332,583.6048
294,NA,855.0856,546.9475,931.9369,621.0596
294,694.5551,NA,393.5563,NA,NA
297,NA,771.9873,483.4352,867.6071,573.8307
300,NA,740.8660,457.1201,829.2662,539.1688
300,652.3073,NA,364.7250,NA,NA
303,NA,743.1031,451.9479,838.8309,542.3792
306,NA,713.2155,424.8901,810.2749,516.2064
306,636.4800,NA,349.8434,NA,NA
309,NA,716.2560,443.4528,817.9321,538.5596
312,NA,695.3476,423.1030,799.3180,519.4832
312,610.1865,NA,340.9500,NA,NA
315,NA,693.1733,434.1777,794.7651,528.1576
318,NA,746.9667,479.7844,838.8709,564.9078
318,609.5287,NA,348.2968,NA,NA
321,NA,671.9475,418.4698,776.0815,515.8566
324,NA,675.6970,421.0182,779.9380,517.5693
324,579.7849,NA,328.9432,NA,NA
327,NA,671.6824,425.3350,774.3633,520.9421
330,NA,642.1572,402.9277,748.4509,499.7968
330,546.8693,NA,311.2953,NA,NA
333,NA,678.0345,439.1965,780.5916,533.6744
336,NA,604.6371,376.8651,715.5478,479.7963
336,539.0739,NA,310.8280,NA,NA
339,NA,624.3232,396.4016,726.3943,489.3322
342,NA,644.8387,420.3220,745.0120,514.0070
342,568.6203,NA,339.5139,NA,NA
345,NA,629.1118,409.2084,729.7014,500.9806
348,NA,617.8527,405.6245,726.3225,504.4343
348,512.6515,NA,299.3074,NA,NA
351,NA,620.5463,401.5225,725.8138,498.9898
354,NA,589.2253,382.2576,695.0513,478.4366
354,489.8843,NA,287.1865,NA,NA
357,NA,609.9122,400.9814,711.2945,492.5811
360,NA,595.9825,394.9240,700.0840,491.1399
360,521.1855,NA,316.3701,NA,NA
363,NA,579.1727,384.6905,686.5647,481.6700
366,NA,572.7367,382.7280,683.1680,482.1700
366,472.0269,NA,281.9596,NA,NA
369,NA,579.5376,384.6412,690.1964,485.0818
372,NA,554.8767,362.9819,665.4387,463.5504
372,486.0454,NA,296.4521,NA,NA
375,NA,542.7089,354.9551,650.4977,452.1047
378,NA,529.7112,348.3167,641.5171,448.1303
378,447.7574,NA,268.5149,NA,NA
381,NA,534.2336,353.0895,653.3911,460.4299
384,NA,509.5893,331.9606,621.4887,433.4744
384,455.6625,NA,278.9954,NA,NA
387,NA,529.7362,348.3327,639.6408,446.8891
390,NA,522.1207,357.8617,633.6851,456.6662
390,442.6062,NA,277.6349,NA,NA
393,NA,526.5315,357.5930,639.8341,458.9802
396,NA,519.1592,345.9790,630.3614,444.9105
396,437.8621,NA,271.2415,NA,NA
399,NA,497.5159,327.1690,615.2972,432.8976
402,NA,498.5062,333.5885,611.8925,434.7382
402,423.4019,NA,262.7466,NA,NA
405,NA,475.3332,317.1597,597.0613,424.9684
408,NA,528.0103,369.3013,632.7694,463.7262
408,458.0597,NA,294.8423,NA,NA
411,NA,509.5999,357.2723,626.8992,461.6532
414,NA,489.4635,335.5185,607.0657,440.7385
414,411.9780,NA,261.9217,NA,NA
417,NA,485.3332,329.8237,608.4330,439.5211
420,NA,458.4143,312.2318,579.2200,420.0598
420,400.6806,NA,255.5578,NA,NA
423,NA,494.2799,343.2981,606.7758,443.7815
426,NA,486.7072,330.8409,601.8141,433.2310
426,419.7048,NA,267.1984,NA,NA
429,NA,481.2648,332.0717,605.8088,442.2805
432,NA,493.4864,354.6067,609.0435,456.9127
432,401.2708,NA,263.7633,NA,NA
435,NA,462.6101,322.7571,584.1350,430.4152
438,NA,451.5381,316.9841,576.2281,426.6059
438,380.2527,NA,247.9658,NA,NA
441,NA,472.6646,341.2831,588.7305,443.0486
444,NA,440.8946,309.2603,562.7231,417.0970
444,376.7985,NA,248.4677,NA,NA
447,NA,433.4680,304.5950,559.9412,416.1165
450,NA,427.2689,302.9254,557.6061,417.8210
450,359.6586,NA,236.6667,NA,NA
453,NA,436.4723,310.4467,559.4532,417.7845
456,NA,429.7091,305.6357,560.5493,422.1018
456,355.0160,NA,233.4072,NA,NA
459,NA,464.8298,336.0354,572.2797,430.0956
462,NA,425.9596,304.2803,552.6201,415.5498
462,354.7993,NA,234.9355,NA,NA
465,NA,422.7133,300.0422,548.6138,411.0099
468,NA,430.7979,311.1937,559.3156,425.3722
468,358.3210,NA,240.1872,NA,NA
471,NA,411.1239,294.4744,532.3626,401.0392
474,NA,434.1627,316.3553,557.2286,423.9263
474,357.2793,NA,241.0089,NA,NA
477,NA,410.5937,292.7577,538.2838,404.8740
480,NA,422.2680,306.3117,549.3036,418.3868
480,348.2923,NA,235.7933,NA,NA
483,NA,418.8504,303.2758,538.4661,407.2112
486,NA,422.8645,307.0111,553.7781,422.2817
486,354.2162,NA,239.5307,NA,NA
489,NA,412.2783,299.9461,537.7133,410.3093
492,NA,398.0167,291.3132,533.4874,410.7557
492,329.9020,NA,224.5414,NA,NA
495,NA,415.6841,305.0520,537.7783,411.8523
498,NA,396.5224,290.0380,529.8903,407.1705
498,325.1169,NA,221.1348,NA,NA
501,NA,400.6335,294.4433,526.9502,404.0884
504,NA,392.3729,286.7236,527.8029,406.8460
504,335.3429,NA,230.0264,NA,NA
507,NA,390.9738,286.3904,524.8840,403.6248
510,NA,400.2625,299.7744,530.1235,414.3783
510,345.8099,NA,242.9065,NA,NA
513,NA,404.1349,299.0699,528.9520,409.3649
516,NA,394.4443,294.0069,524.5808,408.3535
516,334.4816,NA,233.8816,NA,NA
519,NA,392.1324,289.9059,520.1674,402.3854
522,NA,384.3788,283.8159,522.9836,406.3779
522,324.0124,NA,224.7961,NA,NA
525,NA,388.5046,288.3627,511.9767,396.3653
528,NA,391.8617,292.4737,526.5930,410.9549
528,325.0708,NA,226.9610,NA,NA
531,NA,385.6758,287.5423,509.5389,395.4965
534,NA,383.2752,285.7269,517.8287,404.0029
534,320.8896,NA,225.0928,NA,NA
537,NA,372.9707,279.2887,503.1216,393.4713
540,NA,387.8206,289.4667,516.2816,401.8426
540,322.0618,NA,225.5506,NA,NA
543,NA,383.3028,287.8353,509.0630,397.2578
546,NA,367.4524,277.6473,498.5634,392.8317
546,314.8765,NA,226.2822,NA,NA
549,NA,377.5944,282.5399,511.2484,399.0880
552,NA,364.2726,274.8826,496.9657,391.8335
552,302.3184,NA,215.2196,NA,NA
555,NA,373.4561,280.7543,502.1570,393.4923
558,NA,366.7843,280.1271,503.7628,400.7768
558,305.6953,NA,220.3394,NA,NA
561,NA,382.4243,292.1658,502.9111,397.8156
564,NA,361.5674,274.0650,500.3651,396.3473
564,302.9456,NA,215.8686,NA,NA
567,NA,368.7675,279.9564,492.9617,388.7113
570,NA,369.3624,281.1381,504.0448,400.0540
570,301.5348,NA,213.4377,NA,NA
573,NA,366.6816,278.2372,500.5727,396.7219
576,NA,356.3107,273.0045,495.9223,395.3662
576,305.7182,NA,221.5462,NA,NA
579,NA,363.4543,275.4926,498.7854,394.4926
582,NA,352.0286,270.0385,487.6903,389.1207
582,293.5585,NA,213.1115,NA,NA
585,NA,369.1809,285.0586,496.2124,395.5463
588,NA,359.1165,275.6391,490.3391,390.2024
588,298.1027,NA,215.8327,NA,NA
591,NA,373.2995,288.6572,491.4763,391.3066
594,NA,352.3754,268.9850,491.0376,391.0362
594,295.2415,NA,212.4636,NA,NA
597,NA,353.1487,272.6268,489.7128,392.5336
600,NA,351.5436,273.8809,489.5251,395.3294
600,294.2840,NA,218.0059,NA,NA
603,NA,375.0009,293.9279,492.6111,395.6487
606,NA,349.6008,266.9665,481.4289,382.8967
606,285.6716,NA,205.3728,NA,NA
609,NA,347.1543,269.3048,481.6058,386.5603
612,NA,351.0537,270.5132,484.8994,388.6483
612,291.8052,NA,212.5081,NA,NA
615,NA,351.6309,275.2376,482.2469,389.5219
618,NA,347.8127,269.2873,487.1534,392.4975
618,296.8392,NA,218.0238,NA,NA
621,NA,360.1017,279.9477,489.8640,394.3926
624,NA,366.7147,287.5557,499.2545,403.9626
624,298.2308,NA,220.3824,NA,NA
627,NA,354.1985,276.6191,481.0181,388.3410
630,NA,337.4432,264.2337,475.4032,385.1947
630,274.7812,NA,203.4580,NA,NA
633,NA,355.0591,280.1214,484.5467,392.9179
636,NA,337.6595,264.4003,474.2416,384.7159
636,274.2603,NA,202.8102,NA,NA
639,NA,332.8598,260.4865,477.5654,387.5441
642,NA,351.8685,276.0358,475.6942,384.5485
642,277.4853,NA,205.8376,NA,NA
645,NA,331.4034,260.0060,471.1047,382.2994
648,NA,358.2166,284.2136,479.8819,390.1129
648,280.7666,NA,209.5151,NA,NA
651,NA,334.3262,263.4183,478.1532,389.6317
654,NA,346.6041,276.2939,473.4571,387.0852
654,274.6671,NA,206.1714,NA,NA
657,NA,336.2161,265.7169,473.9069,386.3987
660,NA,346.2503,275.0217,475.6501,388.7312
660,269.5417,NA,202.1905,NA,NA
663,NA,326.2943,257.7740,469.3741,383.2451
666,NA,334.8354,266.9273,468.1179,384.0743
666,266.2708,NA,200.5862,NA,NA
669,NA,331.0051,262.5449,467.1505,382.1062
672,NA,328.7324,262.1887,471.3366,387.1189
672,268.7139,NA,203.1214,NA,NA
675,NA,337.2869,269.5194,466.3440,382.3403
678,NA,326.4431,259.5264,468.8832,384.5140
678,270.0397,NA,204.2265,NA,NA
681,NA,332.0310,266.2334,463.8460,381.5911
684,NA,323.7039,257.5739,465.4988,381.9594
684,261.0551,NA,196.7316,NA,NA
687,NA,328.1857,262.1497,461.8858,379.7066
690,NA,326.0517,259.8078,464.9055,381.4775
690,264.2806,NA,200.2527,NA,NA
693,NA,328.3094,262.6614,457.8427,375.4292
696,NA,321.9612,257.7668,462.6851,381.8165
696,259.6464,NA,198.0442,NA,NA
699,NA,320.8698,255.1717,460.0543,377.6186
702,NA,326.9470,262.4684,459.5527,378.6931
702,256.0841,NA,194.6177,NA,NA
705,NA,315.0754,250.7639,460.3217,378.5201
708,NA,333.2956,268.9059,465.6604,385.1008
708,259.0201,NA,196.9805,NA,NA
711,NA,321.4165,257.6934,464.1975,383.9028
714,NA,332.3007,268.0702,464.9321,383.9632
714,259.1227,NA,197.4397,NA,NA
717,NA,319.1378,255.8414,458.9059,379.7446
720,NA,329.4818,265.3780,460.4544,379.8038
720,252.4996,NA,191.1158,NA,NA
723,NA,313.4260,251.6196,456.8752,377.3245
726,NA,325.2701,262.6574,456.1536,377.2538
726,255.1717,NA,194.5676,NA,NA
729,NA,314.9819,253.9414,457.5408,378.8461
732,NA,323.1541,261.6313,459.5681,381.6269
732,249.5576,NA,190.7874,NA,NA
